Record ID,Email,Create Date,Lifecycle Stage,Became a Customer Date,Original Traffic Source,Original Traffic Source Drill-Down 1,Google ad click id
200001,lead200001@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000001AbVxYz
200002,lead200002@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000002AbVxYz
200003,lead200003@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200004,lead200004@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200005,lead200005@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000003AbVxYz
200006,lead200006@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200007,lead200007@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000004AbVxYz
200008,lead200008@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200009,lead200009@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200010,lead200010@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000005AbVxYz
200011,lead200011@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200012,lead200012@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000006AbVxYz
200013,lead200013@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000007AbVxYz
200014,lead200014@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200015,lead200015@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200016,lead200016@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200017,lead200017@example.com,2025-12-01,Customer,2025-12-11,Paid Search,google / cpc,Cj0KCQ42x00000008AbVxYz
200018,lead200018@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000009AbVxYz
200019,lead200019@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200020,lead200020@example.com,2025-12-01,Customer,2025-12-09,Email Marketing,hubspot / email,
200021,lead200021@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200022,lead200022@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200023,lead200023@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200024,lead200024@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200025,lead200025@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000010AbVxYz
200026,lead200026@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200027,lead200027@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000011AbVxYz
200028,lead200028@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000012AbVxYz
200029,lead200029@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000013AbVxYz
200030,lead200030@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200031,lead200031@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200032,lead200032@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000014AbVxYz
200033,lead200033@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200034,lead200034@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000015AbVxYz
200035,lead200035@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200036,lead200036@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000016AbVxYz
200037,lead200037@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200038,lead200038@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000017AbVxYz
200039,lead200039@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200040,lead200040@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200041,lead200041@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200042,lead200042@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000018AbVxYz
200043,lead200043@example.com,2025-12-01,Customer,2025-12-11,Paid Search,google / cpc,Cj0KCQ42x00000019AbVxYz
200044,lead200044@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200045,lead200045@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200046,lead200046@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200047,lead200047@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000020AbVxYz
200048,lead200048@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200049,lead200049@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000021AbVxYz
200050,lead200050@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000022AbVxYz
200051,lead200051@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200052,lead200052@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000023AbVxYz
200053,lead200053@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200054,lead200054@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200055,lead200055@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200056,lead200056@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000024AbVxYz
200057,lead200057@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200058,lead200058@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000025AbVxYz
200059,lead200059@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200060,lead200060@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000026AbVxYz
200061,lead200061@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200062,lead200062@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000027AbVxYz
200063,lead200063@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200064,lead200064@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200065,lead200065@example.com,2025-12-01,Customer,2025-12-10,Paid Search,google / cpc,Cj0KCQ42x00000028AbVxYz
200066,lead200066@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000029AbVxYz
200067,lead200067@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200068,lead200068@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200069,lead200069@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200070,lead200070@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000030AbVxYz
200071,lead200071@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000031AbVxYz
200072,lead200072@example.com,2025-12-01,Lead,,Social Media,instagram / social,
200073,lead200073@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000032AbVxYz
200074,lead200074@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000033AbVxYz
200075,lead200075@example.com,2025-12-01,Lead,,Direct Traffic,(direct) / (none),
200076,lead200076@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000034AbVxYz
200077,lead200077@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000035AbVxYz
200078,lead200078@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200079,lead200079@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200080,lead200080@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200081,lead200081@example.com,2025-12-01,Lead,,Email Marketing,hubspot / email,
200082,lead200082@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200083,lead200083@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200084,lead200084@example.com,2025-12-01,Lead,,Organic Search,google / organic,
200085,lead200085@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000036AbVxYz
200086,lead200086@example.com,2025-12-01,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000037AbVxYz
200087,lead200087@example.com,2025-12-01,Customer,2025-12-04,Direct Traffic,(direct) / (none),
200283,lead200283@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000287AbVxYz
200284,lead200284@example.com,2025-12-02,Lead,,Paid Search,google / cpc,Cj0KCQ42x00000288AbVxYz
200285,lead200285@example.com,2025-12-02,Lead,,Social Media,instagram / social,
